6 - Afinogenov, Maxim
7076 - Huberdeau, Jonathan
386 - Hudler, Jiri
387 - Huet, Cristobal
398 - Iginla, Jarome
401 - Jackman, Barret
404 - Jagr, Jaromir
418 - Jokinen, Olli
5737 - Josi, Roman
423 - Jovanovski, Ed
425 - Kaberle, Tomas
364 - Kane, Evander
2086 - Kane, Patrick
89 - Karlsson, Erik
1116 - Keith, Duncan
439 - Kesler, Ryan
1309 - Kessel, Phil
440 - Khabibulin, Nikolai
445 - Kiprusoff, Miikka
452 - Kobasew, Chuck
1136 - Koivu, Mikko
453 - Koivu, Saku
459 - Komisarek, Mike
3624 - Kopitar, Anze
466 - Kotalik, Ales
467 - Kovalchuk, Ilya
468 - Kovalev, Alex
1398 - Krejci, David
476 - Kronwall, Niklas
9565 - Kurri, Jari
1158 - Ladd, Andrew
6422 - Landeskog, Gabriel
503 - Langkow, Daymond
513 - Lecavalier, Vincent
522 - Legwand, David
524 - Lehtonen, Kari
8322 - Lemieux, Mario
1298 - Letang, Kris
533 - Lilja, Andreas
2098 - Little, Bryan
2099 - Lucic, Milan
1190 - Lundqvist, Henrik
547 - Luongo, Roberto
549 - Lupul, Joffrey
559 - Madden, John
564 - Malhotra, Manny
1325 - Malkin, Evgeni
566 - Malone, Ryan
577 - Marleau, Patrick
584 - Mason, Chris
589 - Mayers, Jamal
598 - McDonald, Andy
618 - Michalek, Milan
623 - Miller, Ryan
638 - Moreau, Ethan
642 - Morris, Derek
643 - Morrison, Brendan
645 - Morrow, Brenden
1977 - Moulson, Matt
5815 - Murray, Ryan
661 - Nabokov, Evgeni
663 - Nash, Rick
2168 - Neal, James
681 - Niittymaki, Antero
6083 - Nugent-Hopkins, Ryan
695 - Ohlund, Mattias
2494 - Okposo, Kyle
4444 - Oshie, T.J.
1310 - O'Sullivan, Patrick
1083 - Ovechkin, Alexander
5355 - Pacioretty, Max
1407 - Parenteau, Pierre-Alexandre
1098 - Parise, Zach
1118 - Parros, George
1353 - Pavelski, Joe
1181 - Penner, Dustin
1100 - Perry, Corey
1086 - Phaneuf, Dion
731 - Phillips, Chris
4446 - Pietrangelo, Alex
739 - Pisani, Fernando
740 - Pitkanen, Joni
743 - Plekanec, Tomas
750 - Ponikarovsky, Alexei
753 - Poti, Tom
2077 - Price, Carey
759 - Pronger, Chris
761 - Prospal, Vinny
2305 - Quick, Jonathan
1327 - Radulov, Alexander
779 - Redden, Wade
780 - Regehr, Robyn
788 - Ribeiro, Mike
790 - Richards, Brad
1102 - Richards, Mike
1199 - Rinne, Pekka
796 - Rivet, Craig
803 - Roenick, Jeremy
805 - Roloson, Dwayne
806 - Rolston, Brian
812 - Roy, Derek
9569 - Ruggiero, Angela
5750 - Rüthemann, Ivo
818 - Ruutu, Tuomo
2078 - Ryan, Bobby
820 - Ryder, Michael
826 - Salo, Sami
827 - Salvador, Bryce
837 - Satan, Miroslav
842 - Savard, Marc
4447 - Schenn, Luke
1103 - Seabrook, Brent
857 - Sedin, Daniel
858 - Sedin, Henrik
6605 - Seguin, Tyler
862 - Selanne, Teemu
1304 - Semin, Alexander
2089 - Setoguchi, Devin
867 - Sharp, Patrick
4451 - Simmonds, Wayne
880 - Sjöström, Fredrik
6419 - Skinner, Jeff
897 - Smyth, Ryan
902 - Souray, Sheldon
904 - Spezza, Jason
5507 - Sprunger, Julien
907 - St. Louis, Martin
908 - Staal, Eric
1297 - Staal, Jordan
2084 - Staal, Marc
4430 - Stamkos, Steven
1292 - Stastny, Paul
4214 - Steen, Alexander
2176 - Stewart, Chris
1396 - Stortini, Zack
1203 - Streit, Mark
929 - Sturm, Marco
983 - Subban, P.K.
933 - Sullivan, Steve
1005 - Svoboda, Tomas
5904 - Tavares, John
958 - Theodore, Jose
963 - Thornton, Joe
967 - Timonen, Kimmo
2087 - Toews, Jonathan
973 - Torres, Raffi
974 - Toskala, Vesa
982 - Turco, Marty
2652 - Turris, Kyle
1139 - Umberger, R.J.
389 - Van Riemsdyk, James
1005 - Vermette, Antoine
1985 - Versteeg, Kris
1015 - Vyborny, David
1187 - Ward, Cam
1176 - Weber, Shea
1034 - Weiss, Stephen
1043 - Whitney, Ray
9568 - Wickenheiser, Hayley
1045 - Williams, Jason
1046 - Williams, Justin
7836 - Yakupov, Nail
1315 - Yandle, Keith
1059 - Yashin, Alexei
1069 - Zednik, Richard
1070 - Zetterberg, Henrik
1072 - Zherdev, Nikolay
1080 - Zubrus, Dainius
