9147 - Deslauriers, Jean-Simon
1936 - Deslauriers, Jeff
7053 - Deslauriers, Nicolas
7924 - Desmarais, Simon
9174 - Desmond, Joshua
7087 - Despres, Simon
8470 - Desrosiers, Francis
9584 - Desrosiers, Philippe
6611 - Devane, Jamie
1754 - Deveaux, Andre
4521 - DeVergilio, Kevin
9315 - Devin, Joe
7703 - Devlin, Brandon
3209 - Di Nicola, Maurizio
9244 - Diaby, Jonathan
5663 - Diaz, Rafael
636 - DiBenedetto, Justin
9009 - Dickinson, Jason
5615 - DiDiomete, Devin
6854 - DiDomenico, Christopher
8517 - Dietrich, Brandon
7652 - Dietz, Darren
6172 - Dillon, Brenden
9279 - Dimmen, Jeff
3212 - Dinger, Derek
9044 - Diodati, Eric
6810 - Dion, Pier-Antoine
7906 - Dionne, Nicolas
9094 - Dipaolo, Mike
3213 - DiPietro, Paul
218 - DiPietro, Rick
5881 - Dirk, Jagger
1903 - DiSalvatore, Jon
219 - Divis, Reinhard
2838 - Divisek, Tomas
1937 - Dixon, Stephen
7295 - Dlouhy, Radek
6568 - Doan, Myles
220 - Doan, Shane
6423 - Dodero, Charlie
1755 - Doell, Kevin
8906 - Doetzel, Kayle
6402 - Doherty, Taylor
3216 - Dolak, Thomas
9539 - Dolan, Sean
4642 - Dolezal, Jiri
8824 - Dolnik, Vladimir
5718 - Domenichelli, Hnat
9035 - Domi, Max
7001 - Domingue, Louis
8415 - Donald, Ryan
7775 - Donnay, Troy
6957 - Donnelly, Dillon
9260 - Donovan, Matt
4563 - Donskoi, Joonas
2525 - Dorsett, Derek
9066 - Dotchin, Jake
7664 - Doty, Jacob
7233 - Dotzler, Alexander
8874 - Doucette, Braiden
7786 - Doudera, Milan
4452 - Doughty, Drew
6238 - Dow, Drydn
2269 - Dowell, Jake
6200 - Dowling, Justin
5567 - Down, Blaine
6938 - Downe, Patrick
2226 - Downie, Steve
9483 - Drábek, Václav
2970 - DRAGOUN, Michal
3219 - Draxinger, Tobias
2216 - Drazenovic, Nick
3220 - Dreiber, Reinhold
2830 - Dresler, Jan
5273 - Drewiske, Davis
7682 - Driedger, Chris
2412 - Driendl, Andreas
4630 - Drtina, Jiri
7286 - Drtina, Marek
3222 - Dshunussow, Daniar
5543 - Du Bois, Félicien
6683 - Dubchak, Carson
5745 - Dubé, Christian
9124 - Dubé, Joey
7148 - Dubé, Yannick
8078 - Dubeau, Alex
2024 - Dubinsky, Brandon
2038 - Dubnyk, Devan
6565 - Dubois, Ben
5986 - Dubyk, Deven
5688 - Duca, Paolo
371 - Duchene, Matt
7978 - Duchesne, Nicholas
3223 - Duck, Alexander
9204 - Duclair, Anthony
5322 - Duco, Mike
1626 - Duda, Radek
6990 - Duffy, Ben
4507 - Duffy, Matt
9045 - Duhaime, Ryan
6736 - Duininck, Craig
7970 - Duke, Brendan
7627 - Dumais, Wilson
7633 - Dumba, Mathew
6848 - Dumont, Gabriel
232 - Dumont, Jean-Pierre
9237 - Dumontier, Yan
9287 - Duncan, Ryan
9095 - Dundas, Justice
9238 - Dunn, Vincent
10367 - Dupont, Brodie
3224 - DuPont, Micki
3225 - Duponte, Morgan
234 - Dupuis, Pascal
1999 - Dupuis, Philippe
9019 - Dupuy, Jean
2839 - Duras, Michal
7083 - Durepos, Pierre
7037 - Durette, Alexandre
1891 - Durno, Chris
6397 - Durocher, Corey
2919 - Dusek, Antonin
2840 - Dvorak, Michal
236 - Dvorak, Radek
1744 - Dwyer, Pat
2420 - Dzieduszycki, Matt
3227 - Dziuk, Bogdan
6140 - Dziurzynski, Darian
8387 - Dziurzynski, David
1151 - Eager, Ben
6208 - Eakin, Cody
1839 - Earl, Robbie
240 - Eaton, Mark
2619 - Eaves, Ben
1146 - Eaves, Patrick
1852 - Ebbett, Andrew
5922 - Eberle, Jan
6107 - Eberle, Jordan
8875 - Eberle, Tanner
7865 - Ebert, Nick
5268 - Eckford, Tyler
8768 - Eddy, Cullen
1342 - Edler, Alexander
7595 - Edmundson, Joel
9377 - Edström, Rasmus
2469 - Ehelechner, Patrick
8577 - Ehliz, Yasin
5480 - Ehrensperger, Gianni
6004 - Ehrhardt, Dallas
650 - Ehrhardt, Travis
241 - Ehrhoff, Christian
8997 - Eisenberg, Mitchell
2549 - Ejdepalm, Johan
8976 - Ekblad, Aaron
541 - Ekbom, Viktor
7373 - Ekholm, Mattias
2532 - Eklund, Oscar
7503 - Ekman-Larsson, Oliver
2480 - Elfring, Calvin
243 - Elias, Patrik
3232 - Eliuk, Andy
659 - Elkins, Corey
158 - Eller, Lars
5323 - Ellerby, Keaton
8774 - Ellington, Taylor
6168 - Elliot, Mitch
7648 - Elliott, Alex
2081 - Elliott, Brian
6149 - Elliott, Stefan
244 - Ellis, Dan
1369 - Ellis, Matt
6791 - Ellis, Morgan
6735 - Ellis, Ryan
7350 - Elo, Eero
7203 - El-Sayed, Marc
7768 - Elser, Danny
8531 - Elsner, David
6084 - Elson, Turner
8520 - Elwing, Sebastian
5803 - Elynuik, Campbell
9401 - Emanuelsson, Petter
4667 - Emelin, Alexei
246 - Emery, Ray
247 - Eminger, Steve
3235 - Emmer, Luciano
5635 - Emmerson, Riley
5237 - Emmerton, Cory
7032 - Emond, Alex
7894 - Emond, Danick
7311 - Endal, Lukas
2458 - Endraß, Michael
5642 - Engel, Josh
7669 - Engel, Mac
1840 - Engelhardt, Brett
1873 - Engelland, Deryk
8764 - Englbrecht, Maximilian
1444 - Engqvist, Andreas
2651 - Engren, Atte
114 - Engstrand, Christian
9602 - Engsund, Oscar
711 - Ennis, Tyler
1534 - Enroth, Jhonas
3238 - Enstrom, Tobias
8373 - Enterfeldt, Sebastian
248 - Erat, Martin
2868 - Erat, Roman
1513 - Ericsson, Jimmie
3239 - Ericsson, Jonathan
8576 - Eriksson, Fredrik
7415 - Eriksson, Joacim
3241 - Eriksson, Joakim
3242 - Eriksson, Loui
9404 - Eriksson, Mikael
2564 - Erixon, Sebastian
593 - Erixon, Tim
8855 - Erkamps, Macoy
2634 - Erkinjuntti, Antti
9205 - Erne, Adam
8711 - Erni, Samuel
7339 - Eronen, Teemu
7554 - Erricson, Jari
1470 - Ersberg, Erik
250 - Erskine, John
251 - Esche, Robert
325 - Esposito, Angelo
9266 - Estoclet, Adam
9206 - Etchegary, Kurt
5971 - Etem, Emerson
2008 - Evans, Brennan
8998 - Evans, Jake
6216 - Evans, Jordan
6909 - Evans-Renaud, Zachary
9626 - Everberg, Dennis
3250 - Evtuh, Dimitri
5780 - Ewanyk, Travis
252 - Exelby, Garnet
7710 - Ezekiel, Norm
1212 - Fadden, Mitch
8920 - Fafard, Devan
1756 - Fahey, Brian
3254 - Faikov, Bulat
9285 - Fairchild, Cade
9026 - Faksa, Radek
5256 - Falk, Justin
9175 - Falkenham, Ryan
474 - Fallon, Joe
8692 - Falter, Martin
7385 - Fälth, Elias
6425 - Fanelli, Ben
7499 - Fantenberg, Oscar
8505 - Farny, Andreas
8642 - Farrell, Kyle
5291 - Fast, T.J.
7498 - Fasth, Jesper
7400 - Fasth, Viktor
256 - Fata, Rico
8739 - Faulk, Justin
7257 - Fauser, Gerrit
9137 - Faust, E.J.
6114 - Favreau, Dominick
8458 - Fayne, Mark
3257 - Fediuk, Mike
258 - Fedorov, Sergei
260 - Fedotenko, Ruslan
3258 - Fedotov, Uriy
1221 - Fehr, Eric
3260 - Felski, Sven
6263 - Fenske, Luke
3263 - Feodorov, Yermukhamet
261 - Ference, Andrew
8839 - Ferguson, Austin
5133 - Ferland, Michael
3265 - Fernholm, Daniel
6087 - Ferraro, Landon
407 - Ferriero, Benn
9036 - Ferry, Tyler
6232 - Feser, Justin
7734 - Festarini, Christopher
2234 - Festerling, Brett
5408 - Festerling, Garrett
3266 - Fical, Petr
3267 - Ficenec, Jakub
7616 - Fiddler, Todd
267 - Fiddler, Vernon
7798 - Fielding, Taylor
7564 - Fienhage, Corey
5185 - Figren, Robin
4496 - Filatov, Nikita
7136 - Filiatrault, Alex
3269 - Filipiak, Robert
7971 - Filippi, Tomas
3270 - Filppula, Ilari
1223 - Filppula, Valtteri
7839 - Findlay, Brett
6400 - Fine, Michael
1746 - Finger, Jeff
3272 - Fini, Giampaolo
8400 - Finley, Joe
7746 - Finn, Matt
6911 - Finn, Samuel
7317 - Finsterle, Lukas
7599 - Fioretti, Sam
9629 - Fischbuch, Daniel
2312 - Fischer, Christopher
888 - Fischer, Patrick
7270 - Fischhaber, Simon
9382 - Fish, Christopher
271 - Fisher, Mike
1778 - Fistric, Mark
6633 - Fitze, Dylan
1905 - FitzGerald, Zack
9020 - Fitzmorris, Mitchell
2450 - Flaake, Jerome
5389 - Flache, Peter
1160 - Fleischmann, Tomas
6175 - Fleming, Erik
6667 - Flemington, Kyle
6477 - Flemming, Brett
2215 - Fletcher, Justin
275 - Fleury, Marc-Andre
6471 - Flick, Rob
3275 - Flinck, Markku
2102 - Flood, Mark
7482 - Fluckiger, Michael
5573 - Flüeler, Lukas
8450 - Flynn, Ryan
7163 - Foglia, Nicholas
9609 - Fogström, Niklas
6709 - Foligno, Marcus
2080 - Foligno, Nick
8896 - Fontaine, Jarrett
9272 - Fontaine, Justin
6386 - Foote, Brandon
8403 - Ford, Matt
2493 - Ford, Scott
8897 - Fordyce, Devon
9512 - Forman, Miroslav
5381 - Fornataro, Matt
977 - Forney, Michael
8898 - Forsberg, Alex
6074 - Forsberg, Jesse
606 - Forsberg, Johan
555 - Forsberg, Kristian
9619 - Forslund, Rasmus
2558 - Forssell, Erik
3278 - Forster, Beat
8574 - Forster, Maximilian
7540 - Forsyth, Mike
9211 - Fortier, Maxime
7192 - Fortier, Olivier
9212 - Fortin, Gabriel
1789 - Fortunus, Maxime
9278 - Foss, Jeff
10432 - Foster, Adrian
1841 - Foster, Alex
8797 - Foster, Brian
283 - Foster, Kurtis
5776 - Foster, T.J.
9423 - Fotinos, Alex
5149 - Foucault, Kris
7932 - Fournier, Dillon
7030 - Fournier, Gleason
6919 - Fournier, Stefan
6738 - Fowler, Cam
7552 - Fowlie, Cody
6435 - Fox, Dane
3281 - Fox, Danny
9046 - Foy, Brett
1112 - Foy, Matt
8930 - Fram, Jason
6651 - Francisco, Brandon
2984 - Franek, Petr
7660 - Frank, Austin
7573 - Franko, Zach
7694 - Franson, Cain
2203 - Franson, Cody
7515 - Fransoo, Jordan
3284 - Fransson, Johan
1476 - Fransson, Jonas
1124 - Franzen, Johan
1388 - Fraser, Colin
6059 - Fraser, Greg
1946 - Fraser, Jamie
7867 - Fraser, Jérémie
1386 - Fraser, Mark
5867 - Fraser, Matt
8492 - Frattin, Matt
5383 - Frazee, Jeff
8446 - Fredheim, Kris
2127 - Fretter, Colton
9388 - Friberg, Max
5592 - Friedli, Samuel
6484 - Friesen, Alex
8775 - Friesen, Dustin
2526 - Frischmon, Trevor
9597 - Frisk, Andreas
6494 - Fritsch, Andrew
8712 - Fritsche Jr., John
286 - Fritsche, Dan
7925 - Frk, Martin
6395 - Froats, Derek
5800 - Froese, Byron
3291 - Frögren, Jonas
786 - Frohlicher, Joel
5746 - Froidevaux, Etienne
2893 - Frolik, Martin
4436 - Frolik, Michael
2730 - Frolo, Tomas
287 - Frolov, Alexander
5430 - Frosch, Dusan
9176 - Fucale, Zachary
1424 - Fukufuji, Yutaka
3293 - Fuloc, Julien
4629 - Furch, Dominik
3295 - Furchner, Sebastian
5704 - Furrer, Andreas
5734 - Furrer, Philippe
3297 - Furtak, Danyo
5894 - Fyten, Austin
289 - Gaborik, Marian
7804 - Gabriel, Kurtis
6012 - Gabriel, Oliver
7081 - Gagné, Kevin
290 - Gagne, Simon
2091 - Gagner, Sam
5238 - Gagnon, Aaron
6860 - Gagnon, Mathieu
8151 - Gagnon, Mathieu
5529 - Gailland, Jeremy
5914 - Gajovsky, Nikola
6180 - Gal, Blake
6648 - Galansky, Tadeas
9578 - Galbraith, Patrick
7521 - Galbraith, Spencer
7832 - Galchenyuk, Alex
5264 - Galiardi, T.J.
7090 - Galiev, Stanislav
7179 - Galivan, Patrick
6248 - Gallagher, Brendan
9193 - Gallant, Alex
8771 - Gallant, Brett
6166 - Gallimore, Burke
2749 - Galvas, Lukas
292 - Gamache, Simon
5654 - Gamble, Braden
7880 - Gamelin, Frédérick
639 - Gannon, Jake
8783 - Garbutt, Ryan
3302 - Gardener, Chris
8737 - Gardiner, Jake
5583 - Gardner, Ryan
3304 - Garkusha, Vladmir
9010 - Garlent, Hunter
1826 - Garlock, Ryan
293 - Garon, Mathieu
5324 - Garrison, Jason
6286 - Gaskin, Stephen
7562 - Gaudet, Brady
9169 - Gaudet, Tyler
9232 - Gaudreau, Frédérick
7717 - Gaunce, Brendan
6480 - Gaunce, Cameron
294 - Gaustad, Paul
9233 - Gauthier, Alexandre
7080 - Gauthier, Danick
2020 - Gauthier, Gabe
9213 - Gauthier, Guillaume
9138 - Gauthier, Sébastien
7050 - Gauthier-Leduc, Jérôme
5684 - Gautschi, Marc
3306 - Gavrilovs, Denis
9067 - Gavrus, Artur
3307 - Gawlik, Christoph
8404 - Gawryletz, Travis
5990 - Gayle, Danny
7187 - Gazdic, Luke
5580 - Geering, Patrick
8812 - Geertsen, Mason
8713 - Geiger, Marc
6893 - Gélinas, Carl
6834 - Gélinas, Éric
8347 - Gélinas, Guillaume
8499 - Gelke, Richard
5506 - Genazzi, Joel
712 - Generous, Matt
5706 - Genoni, Leonardo
9027 - Genovese, Cory
9274 - Genoway, Chay
3311 - Gentile, Luigi
3312 - Genze, Alexander
8451 - Geoffrion, Blake
5305 - Gerbe, Nathan
5764 - Gerber, Adrian
5735 - Gerber, Beat
5707 - Gerber, Lukas
298 - Gerber, Martin
4767 - Gerber, Roland
7284 - Gerhat, Frantisek
1224 - Germyn, Carsen
8813 - Gernat, Martin
1184 - Gervais, Bruno
7117 - Gervais-Chouinard, Jacob
1092 - Getzlaf, Ryan
5593 - Geyer, Cyrill
6071 - Gibb, Daniel
9308 - Gibbons, Brian
6813 - Gibson, Christopher
8700 - Gibson, John
3315 - Gienbaev, Pavel
6537 - Giftopoulos, Remy
5512 - Gigon, Olivier
300 - Giguere, Jean-Sebastien
6764 - Gilbert, David
9028 - Gilbert, Jared
6619 - Gilbert, Jay
1395 - Gilbert, Tom
301 - Gill, Hal
6900 - Gillard, Steve
4437 - Gillies, Colton
1225 - Gillies, Trevor
9566 - Gilmour, Doug
388 - Gilroy, Matt
3316 - Gimbert, Laurent
302 - Gionta, Brian
1883 - Gionta, Stephen
1226 - Giordano, Mark
807 - Giovannini, Remo
7881 - Girard, Félix
7092 - Girard, Gabriel
3317 - Girard, Rick
7051 - Girard, Sean
1400 - Girardi, Daniel
1227 - Giroux, Alexandre
5296 - Giroux, Claude
6767 - Giroux, Simon
8649 - Giroux, Tommy
1228 - Giuliano, Jeff
8999 - Glass, Nathan
2263 - Glass, Tanner
305 - Gleason, Tim
3319 - Glebov, Turgay
1391 - Glencross, Curtis
1913 - Glenn, Ryan
5011 - Glennie, Scott
569 - Glimmenvall, Daniel
5572 - Gloor, Kevin
6009 - Glover, Brandon
1182 - Glumac, Mike
5755 - Gmür, Sandro
5530 - Gobbi, John
9130 - Gobeil, Thomas
306 - Goc, Marcel
2424 - Goc, Nikolai
3320 - Goc, Sascha
307 - Godard, Eric
5372 - Godfrey, Josh
8357 - Godin, François
3321 - Godlewski, Jan
7236 - Goepfert, Bobby
1141 - Goertzen, Steven
6134 - Gogol, Curt
8807 - Gogolev, Alex
3322 - Gogulla, Philip
3323 - Golash, Stepan
2290 - Goligoski, Alex
8751 - Goll, Jakob
8418 - Goloubef, Cody
308 - Gomez, Scott
309 - Gonchar, Sergei
8455 - Goncharov, Maxim
8786 - Gongalsky, Igor
6328 - Goodrow, Barclay
10491 - Gordon, Andrew
8746 - Gordon, Ben
310 - Gordon, Boyd
8941 - Gordon, Coda
3327 - Gordon, Ian
8808 - Gordon, Luke
311 - Goren, Lee
1129 - Gorges, Josh
6932 - Gormley, Brandon
9390 - Görtz, Max
5482 - Gossweiler, Manuel
6351 - Gottzmann, Jeremy
8840 - Goulbourne, Tyrell
2064 - Goulet, Alain
7171 - Gourde, Yanni
7672 - Gow, Reid
7099 - Goyette, Marc-Antoine
2201 - Grabner, Michael
1385 - Grabovski, Mikhail
990 - Grachev, Evgeny
2260 - Gragnani, Marc-Andre
8981 - Graham, Charlie
7907 - Graham, Domenic
7783 - Graham, Jesse
635 - Granath, Elias
9234 - Grandmaison, Alexandre
9580 - Granlund, Markus
4543 - Granlund, Mikael
3332 - Granstrom, Jonathan
736 - Grant, Alex
9256 - Grant, Derek
9029 - Grant, Keli
7736 - Grant, Kris
9264 - Grant, Tommy
1335 - Grant, Triston
911 - Grantham, Ryley
6541 - Graovac, Tyler
9634 - Grass, Artur
9471 - Grassi, Daniele
8792 - Gratchev, Maxime
1230 - Gratton, Josh
5574 - Grauwiler, Lukas
9047 - Graves, Jacob
7788 - Graves, Josh
9194 - Graves, Ryan
3334 - Gray, Angus
7632 - Grayson, Lucas
5965 - Grbavac, Cole
316 - Grebeshkov, Denis
317 - Green, Josh
1305 - Green, Mike
3335 - Green, Morten
7756 - Green, Spencer
9021 - Greenaway, Darcy
1390 - Greene, Andy
1162 - Greene, Matt
8388 - Greening, Colin
4530 - Greenop, Richard
2224 - Greentree, Kyle
3336 - Greffe, Stephane
9318 - Gregoire, Jason
9153 - Grégoire, Jérémy
2724 - Gregorek, Petr
3338 - Greilinger, Thomas
3339 - Greiss, Thomas
7986 - Grenier C., Jean-François
7198 - Gretzky, Wayne
9472 - Grieder, Marc
7774 - Griffith, Seth
9207 - Grigorenko, Mikhail
1472 - Grillfors, Daniel
7689 - Grist, Sam
5840 - Groenheyde, Jon
3341 - Grönholm, Ossi-Petteri
6499 - Gronvaldt, Simon
3343 - Grossmann, Nicklas
5708 - Grossmann, Robin
1957 - Groulx, Danny
6744 - Grubauer, Philipp
2050 - Grumet-Morris, Dov
7377 - Grundel, Anton
9486 - Gründling, Martin
8389 - Gryba, Eric
3348 - Grygiel, Adrian
3349 - Grzelak, Piotr
5920 - Gudas, Radko
7749 - Gudbranson, Alex
6404 - Gudbranson, Erik
9221 - Guénette, Justin
1394 - Guenin, Nathan
7688 - Guenther, Riley
7476 - Guerra, Samuel
6843 - Guertin, Mathieu
3352 - Guggisberg, Peter
3353 - Gugnot, Pierre
8925 - Guiel, Mitch
6817 - Guillemette, Emrik
1231 - Guite, Ben
8660 - Gula, Jiri
2726 - Gulas, Milan
2787 - Gulasi, Michal
3355 - Gundersen, Aksel
421 - Gunderson, Ryan
1477 - Gunnarsson, Carl
9412 - Gunnarsson, Daniel
7423 - Gunnarsson, Jonas
3356 - Guryca, Jan
6812 - Gusse, Robin
996 - Gustafsson, Anton
8382 - Gustafsson, Erik
9399 - Gustafsson, Johan
8637 - Gustavsen, Brett
78 - Gustavsson, Jonas
8876 - Gwinner, Shayne
1432 - Gynge, Richard
8463 - Gysbers, Simon
7468 - Haas, Gaetan
8921 - Haas, Kyle
5765 - Haas, Lukas
8752 - Haase, Henry
3361 - Haataja, Juha-Pekka
5646 - Habscheid, Zach
8179 - Haché, Justin
8331 - Hackert, Michael
6626 - Hackett, Matt
8791 - Haczyk, Bryan
737 - Haddad, Joey
3364 - Hadelov, Andreas
9589 - Hafenrichter, Jaroslav
8417 - Hagel, Kyle
9265 - Hagelin, Carl
2460 - Hager, Patrick
327 - Hagman, Niklas
3366 - Hagos, Yared
328 - Hahl, Riku
2381 - Hahn, Derek
329 - Hainsey, Ron
8907 - Hak, Stephen
7425 - Hakanpää, Jani
3369 - Haken, Jay
9100 - Halagian, Nick
1426 - Halak, Jaroslav
4455 - Haley, Michael
5272 - Halischuk, Matthew
332 - Hall, Adam
3371 - Hall, Nicholas
6721 - Hall, Taylor
6284 - Hall, Zach
6870 - Halley, Philippe
3374 - Hallin, Per
2574 - Halme, Jussi
6567 - Halmo, Mike
333 - Halpern, Jeff
1641 - Hämäläinen, Ville
7666 - Hamblin, Cole
1802 - Hambly, Tim
334 - Hamel, Denis
7301 - Hamerlik, Peter
335 - Hamhuis, Dan
4474 - Hamill, Zach
6132 - Hamilton, Curtis
6505 - Hamilton, Dougie
6486 - Hamilton, Freddie
8908 - Hamilton, Joel
7604 - Hamilton, Keith
1963 - Hamilton, Ryan
5976 - Hamilton, Wacey
8946 - Hamonic, Justin
5137 - Hamonic, Travis
2947 - Hampl, Zbynek
2742 - Hamrlik, Martin
337 - Hamrlik, Roman
8825 - Hand, Tye
338 - Handzus, Michal
5824 - Hanes, Ryan
7173 - Hanes, Ryan
340 - Hannan, Scott
6885 - Hannay, Sawyer
5719 - Hänni, Andreas
4505 - Hannula, Mika
3384 - Hannus, Tommi
8877 - Hansen, Carter
1791 - Hansen, Jannik
1433 - Hansen, Mads
5832 - Hansen, Tyler
5656 - Hanson, Christian
7603 - Hanson, Josh
9587 - Hanuljak, Miroslav
2094 - Hanzal, Martin
9519 - Hanzl, Robin
2966 - HANZLIK, Jan
4602 - Hanzlik, Jiri
9178 - Hardie, Austyn
342 - Harding, Josh
2577 - Hardt, Nichlas
7953 - Hari, Janos
1485 - Harju, Johan
5797 - Harper, Shane
9000 - Harper, Stephen
9011 - Harpur, Ben
6449 - Harrington, Scott
9107 - Harris, Jacob
1232 - Harrison, Jay
8965 - Harrison, Luke
6042 - Harrison, Ryan
1354 - Harrold, Peter
8866 - Hart, Jayden
7700 - Hart, Tyler
2654 - Hartikainen, Teemu
344 - Hartnell, Scott
6548 - Hartwick, Derek
9048 - Harvey, Doug
840 - Hasani, Adam
346 - Hasek, Dominik
3393 - Hashimoto, Eiji
4456 - Haskins, Tyler
6493 - Hasson, Michael
9037 - Hatcher, Chase
5452 - Hattunen, Jarkko
8926 - Hauf, Jared
3397 - Hauhtonen, Janne
7258 - Hauner, Norman
8931 - Hauptman, Jarid
7310 - Havel, Lukas
348 - Hävelid, Niclas
349 - Havlat, Martin
9507 - Havlícek, Ondrej
7933 - Hawes, Cole
8654 - Hay, Darrell
1404 - Haydar, Darren
7558 - Hayer, Manraj
9296 - Hayes, Jimmy
7120 - Hazen, Jonathan
7820 - Heard, Mitchell
8942 - Heatherington, Dillon
353 - Heatley, Dany
354 - Hecht, Jochen
7259 - Hecquefeuille, Kevin
355 - Hedberg, Johan
8782 - Hedden, Mike
1874 - Hedlund, Andy
7389 - Hedman, Anton
3401 - Hedman, Oscar
2553 - Hedman, Victor
3402 - Hedström, Jonathan
615 - Heed, Tim
5817 - Heemskerk, Thomas
8105 - Heerema, Jeff
8631 - Heffley, Colton
8596 - Heikkila, Patrik
3403 - Heikkinen, Ilkka
3405 - Heino, Henri
8106 - Heins, Shawn
1343 - Hejda, Jan
361 - Hejduk, Milan
1113 - Helbling, Timo
1631 - Helenius, Riku
8809 - Helgesen, Kenton
9367 - Hellberg, Magnus
2497 - Helm, Darren
8108 - Helmer, Bryan
1769 - Helminen, Dwight
8523 - Helms, Kyle
363 - Hemsky, Ales
2576 - Henderson, Kevin
1875 - Hendricks, Matt
4479 - Hendrikx, Trevor
1982 - Hendry, Jordan
7130 - Henley, Cédrick
6914 - Henley, Samuel
1367 - Hennessy, Josh
3414 - Henriksen, Martin
6724 - Henrique, Adam
8856 - Henry, Adam
365 - Henry, Alex
8826 - Henry, Darian
6257 - Henry, James
4475 - Henry, Jordan
2173 - Hensick, T.J.
3416 - Hentunen, Jukka
7303 - Herman, Martin
6647 - Hermenegildo, Peter
3418 - Herperger, Chris
7483 - Herren, Yannick
7888 - Herrett, Wes
6046 - Herrod, Brandon
2196 - Hersley, Patrik
8758 - Hertel, Jimmy
9509 - Hertl, Tomáš
6808 - Hertzberg, Viktor
1792 - Heshka, Shaun
9430 - Hetenyi, Zoltan
7640 - Hewitt, Matt
9288 - Hextall, Brett
8966 - Hicketts, Joe
660 - Hickey, Thomas
7665 - Hickman, Justin
6580 - Hietkamp, Luke
367 - Higgins, Chris
718 - Higgins, Chris
6646 - Hill, Jordan
8625 - Hillding, Joakim
2659 - Hillen, Jack
3424 - Hiller, Jonas
9613 - Hiller, Marcus
1865 - Himelfarb, Eric
7011 - Hinse, Olivier
2348 - Hinterstocker, Martin
6060 - Hirsche, Brock
5720 - Hirschi, Steve
3429 - Hirschovits, Kim
5442 - Hirvonen, Pasi
6560 - Hishon, Joey
8622 - Hjalmarsson, Gustav
1473 - Hjalmarsson, Niklas
580 - Hjalmarsson, Simon
2427 - Hlinka, Martin
6928 - Hlinka, Michal
8459 - Hlinka, Michal
4620 - Hluchy, Milan
6207 - Hoban, Brad
6984 - Hobbs, Matthew
3433 - Hobson, Simon
3434 - Hock, Robert
6268 - Hodder, Zach
5455 - Hodges, Steven
7188 - Hodgman, Justin
6325 - Hodgson, Cody
8184 - Hodhod, Samuel
9253 - Hoeffel, Mike
5532 - Hoehener, Martin
7972 - Höfflin, Mirko
1817 - Hoffman, Mike
7084 - Hoffman, Mike
7273 - Hofland, Diego
7472 - Hofmann, Gregory
1114 - Hoggan, Jeff
7408 - Högström, Marcus
2401 - Höhenleitner, Christoph
6359 - Holden, Derek
8113 - Holden, Josh
5338 - Holden, Nick
4643 - Holec, Miroslav
8699 - Holik, Petr
8114 - Holland, Jason
6236 - Holland, Patrick
6365 - Holland, Peter
848 - Hollenstein, Denis
5274 - Holloway, Bud
1115 - Hollweg, Ryan
6184 - Holmberg, Mitch
3440 - Holmqvist, Johan
377 - Holmqvist, Michael
8383 - Holmstrom, Ben
378 - Holmstrom, Tomas
5189 - Holös, Jonas
7537 - Holowenko, Cole
3441 - Holowka, Stephen
1197 - Holt, Chris
1003 - Holtby, Braden
1780 - Holtet, Marius
2909 - Holub, Jan
4457 - Holzapfel, Riley
2352 - Holzer, Korbinian
2417 - Holzmann, thomas
8748 - Holzmann, Veit
3443 - Hommel, Christian
6000 - Honejsek, Antonin
9435 - Honka, Juuso
3444 - Honkaheimo, Otto
3445 - Honkanen, Jani
8359 - Honzik, David
5899 - Hood, Graham
7835 - Hooey, Garrett
7834 - Hope, Brandon
6524 - Hope, Kyle
5448 - Horak, Roman
1495 - Horava, Miloslav
9409 - Hörberg, Andreas
8678 - Horcicka, Lubos
380 - Horcoff, Shawn
381 - Hordichuk, Darcy
3447 - Hördler, Frank
2895 - Horna, Tomas
4448 - Hornqvist, Patric
382 - Horton, Nathan
9038 - Horvat, Bo
9012 - Horvat, Ryan
3448 - Hospelt, Kai
383 - Hossa, Marcel
384 - Hossa, Marian
1612 - Hostikka, Ville
6652 - Hottot, Craig
8956 - Houck, Jackson
7988 - Houde, Jason
7869 - Houle, Olivier
9282 - House, Tanner
6456 - Houser, Michael
3450 - Hovi, Sasu
1703 - Hovinen, Niko
2701 - Hovorka, Marek
1193 - Howard, Jimmy
5994 - Howden, Quinton
5374 - Howes, Scott
7680 - Howorko, Shea
5467 - Howse, Ryan
9139 - Hoyles, Aaron
7979 - Hozjan, Carl
4953 - Hrabal, Josef
7889 - Hrabarenka, Raman
7548 - Hrbas, Marek
2210 - Hrdel, Zbynek
2723 - Hrebejk, Štepán
6937 - Hrivik, Marek
2948 - Hrna, Erik
2973 - HROMAS, Karel
7300 - Hrubec, Simon
4644 - Hruška, David
9493 - Hruska, Milan
2770 - Hruska, Radim
3453 - Hryshko, Georges
2771 - Hubacek, Petr
7076 - Huberdeau, Jonathan
8847 - Hubic, Jeff
2983 - Hubl, Jaroslav
2714 - Hubl, Viktor
3454 - Huczkowski, Miika
9600 - Hudacek, Julius
5066 - Hudec, Stanislav
386 - Hudler, Jiri
7895 - Hudon, Charles
8481 - Hudson, Carl
2461 - Huebscher, Andre
387 - Huet, Cristobal
6522 - Hughes, Brian
6228 - Hughesman, Adam
8714 - Huguenin, Anthony
7463 - Huhtala, Santtu
7457 - Huhtala, Teemu
