Name,Compare,Pos,Age,Team,GP,Top Speed,Average Speed,100+ MPH,100+ MPH/G,90-100 MPH,90-100 MPH/G,80-90 MPH,80-90 MPH/G,70-80 MPH,70-80 MPH/G
RYAN POEHLING,,C,27.4,ANA,75,80.77,46.76,0,0.00,0,0.00,3,0.04,18,0.24
KEEGAN KOLESAR,,R,29.2,VGK,82,80.74,51.91,0,0.00,0,0.00,2,0.02,30,0.37
TYLER PITLICK,,C,34.6,MIN,32,80.7,49.22,0,0.00,0,0.00,1,0.03,6,0.19
RYAN STROME,,C,32.9,CGY,52,80.67,49.26,0,0.00,0,0.00,1,0.02,6,0.12
BEN JONES,,C,27.3,MIN,28,80.67,50.71,0,0.00,0,0.00,1,0.04,6,0.21
JAROSLAV CHMELAR,,R,22.9,NYR,28,80.66,53.63,0,0.00,0,0.00,1,0.04,8,0.29
TYLER SEGUIN,,C,34.3,DAL,27,80.52,46.72,0,0.00,0,0.00,1,0.04,7,0.26
JONATAN BERGGREN,,L,25.9,STL,51,80.47,53.84,0,0.00,0,0.00,1,0.02,18,0.35
NATHAN BASTIAN,,R,28.5,DAL,36,80.44,47.04,0,0.00,0,0.00,1,0.03,4,0.11
LUKE EVANGELISTA,,R,24.3,NSH,81,80.44,48.93,0,0.00,0,0.00,1,0.01,47,0.58
DAVID KAMPF,,C,31.4,WSH,40,80.4,43.11,0,0.00,0,0.00,1,0.03,9,0.23
SHANE WRIGHT,,C,22.4,SEA,74,80.37,49.83,0,0.00,0,0.00,2,0.03,37,0.50
RYAN REAVES,,R,39.4,S.J,50,80.36,45.31,0,0.00,0,0.00,1,0.02,6,0.12
MATTHEW WOOD,,C,21.3,NSH,71,80.36,51.32,0,0.00,0,0.00,1,0.01,38,0.54
JOSH DUNNE,,R,27.5,BUF,34,80.09,46.35,0,0.00,0,0.00,2,0.06,4,0.12
DAKOTA JOSHUA,,L,30.1,TOR,55,80.04,41.25,0,0.00,0,0.00,1,0.02,7,0.13
CARL GRUNDSTROM,,L,28.5,PHI,47,80.03,55.58,0,0.00,0,0.00,1,0.02,25,0.53
STEFAN NOESEN,,L,33.3,N.J,38,80.02,42.14,0,0.00,0,0.00,2,0.05,7,0.18
CONOR SHEARY,,R,34.0,NYR,62,79.95,50.9,0,0.00,0,0.00,0,0.00,20,0.32
MARK JANKOWSKI,,C,31.7,CAR,68,79.91,45.24,0,0.00,0,0.00,0,0.00,13,0.19
EVGENII DADONOV,,L,37.2,N.J,24,79.66,45.84,0,0.00,0,0.00,0,0.00,2,0.08
NOAH LABA,,C,22.8,NYR,74,79.63,46,0,0.00,0,0.00,0,0.00,16,0.22
ALEX TURCOTTE,,C,25.3,L.A,62,79.46,41.86,0,0.00,0,0.00,0,0.00,7,0.11
DENVER BARKEY,,C,21.1,PHI,43,79.4,40.97,0,0.00,0,0.00,0,0.00,8,0.19
COLE SMITH,,L,30.6,VGK,63,79.3,45.57,0,0.00,0,0.00,0,0.00,16,0.25
MATTHEW TKACHUK,,R,28.5,FLA,31,79.23,50.43,0,0.00,0,0.00,0,0.00,37,1.19
BRAEDEN BOWMAN,,R,22.9,VGK,54,79.17,41.67,0,0.00,0,0.00,0,0.00,14,0.26
CONNOR ZARY,,L,24.7,CGY,74,78.91,48.11,0,0.00,0,0.00,0,0.00,39,0.53
COLLIN GRAF,,L,23.7,S.J,81,78.85,44.77,0,0.00,0,0.00,0,0.00,22,0.27
JEFF MALOTT,,L,29.8,L.A,58,78.82,45.92,0,0.00,0,0.00,0,0.00,15,0.26
