Name,Compare,Pos,Age,Team,GP,Top Speed,22+ MPH,22+ MPH/G,20+ MPH,20+ MPH/G,18+ MPH,18+ MPH/G
MATTHEW TKACHUK,,R,28.5,FLA,52,20.7,0,0.00,6,0.12,124,2.38
NICOLAS HAGUE,,D,27.5,NSH,68,20.67,0,0.00,11,0.16,172,2.53
LUKE SCHENN,,D,36.6,BUF,76,20.67,0,0.00,6,0.08,120,1.58
DAVID SAVARD,,D,35.6,,75,20.65,0,0.00,3,0.04,78,1.04
DENNIS GILBERT,,D,29.6,OTT,29,20.63,0,0.00,1,0.03,37,1.28
MARC-EDOUARD VLASIC,,D,39.2,,27,20.57,0,0.00,7,0.26,58,2.15
LINUS KARLSSON,,R,26.5,VAN,23,20.56,0,0.00,3,0.13,90,3.91
DENNIS CHOLOWSKI,,D,28.3,N.J,39,20.5,0,0.00,2,0.05,87,2.23
JON MERRILL,,D,34.3,,70,20.42,0,0.00,5,0.07,97,1.39
DEREK FORBORT,,D,34.2,VAN,54,20.42,0,0.00,6,0.11,103,1.91
JACOB MOVERARE,,D,27.8,L.A,49,20.41,0,0.00,3,0.06,73,1.49
ARTEM ZUB,,D,30.7,OTT,56,20.38,0,0.00,5,0.09,78,1.39
BRAYDEN MCNABB,,D,35.4,VGK,82,20.27,0,0.00,1,0.01,101,1.23
EGOR ZAMULA,,D,26.2,CBJ,63,20.18,0,0.00,4,0.06,105,1.67
KYLE BURROUGHS,,D,30.9,L.A,33,20.03,0,0.00,1,0.03,38,1.15
PATRICK MAROON,,R,38.1,,68,20.03,0,0.00,1,0.01,85,1.25
