,Overall,Even Strength,Power Play,Shorthanded,,,,,,,,,,,,,,,,,
MICHAEL KESSELRING,,D,26.4,S.J,82,220.71,9.13,3.55,1.43,206.39,9.2,3.47,1.37,10.25,8.81,0.54,0.37,4.07,7.02,0.45,0.26
ANTHONY CIRELLI,,C,28.9,T.B,80,220.56,8.85,3.62,1.31,184.2,9.01,3.41,1.22,13.42,7.72,0.6,0.42,22.93,8.37,0.98,0.53
SAMUEL GIRARD,,D,28.1,PIT,73,220.26,8.68,3.64,1.35,199.43,8.77,3.5,1.29,8.68,10.05,0.44,0.3,12.15,6.92,0.55,0.33
SHEA THEODORE,,D,30.8,VGK,67,220.15,8.96,4.26,1.57,192.99,9.02,4.05,1.53,25.82,8.7,1.17,0.72,1.35,7.33,0.47,0.29
BRAYDEN MCNABB,,D,35.4,VGK,82,219.9,8,3.42,1.35,202.65,8.18,3.15,1.29,0.21,9.56,0.09,0.09,17.05,6.31,0.56,0.38
JOHNATHAN KOVACEVIC,,D,28.9,N.J,81,219.49,8.21,3.42,1.42,195.68,8.41,3.06,1.42,0.95,8.27,0.2,0.2,22.86,6.8,0.72,0.44
MATVEI MICHKOV,,R,21.5,PHI,80,219.3,9.86,3.6,1.6,188.05,10.18,3.15,1.56,31.04,8.29,1.17,0.59,0.2,8.87,0.06,0.06
MASON LOHREI,,D,25.4,BOS,77,219.22,8.75,3.6,1.43,190.99,8.7,3.25,1.41,25.02,9.34,0.84,0.61,3.21,7.48,0.22,0.21
CONNOR MCMICHAEL,,L,25.4,WSH,82,218.85,9.53,3.33,1.32,187.96,9.59,3.06,1.16,23.16,9.5,0.88,0.65,7.73,8.24,0.42,0.31
MATT CORONATO,,R,23.6,CGY,77,218.78,9.7,3.64,1.43,191.94,9.91,3.35,1.2,26.51,8.31,1.06,0.71,0,0,0.13,0.13
JARED MCCANN,,L,30.0,SEA,82,218.76,9.3,3.57,1.42,173.12,9.64,2.97,1.2,28.5,8.17,0.88,0.5,17.14,8.26,0.69,0.45
BRYAN RUST,,R,34.1,PIT,71,218.58,9.35,3.69,1.43,180.11,9.61,3.41,1.34,25.67,7.99,0.94,0.59,12.8,9.06,0.73,0.4
ANTON LUNDELL,,C,24.7,FLA,79,218.3,9.92,3.75,1.34,178.14,10.11,3.33,1.31,15.79,9.3,0.65,0.47,24.38,9.09,0.85,0.51
ALEKSANDER BARKOV,,C,30.8,FLA,67,218.21,9.65,4.13,1.49,171.26,9.92,3.59,1.38,33.06,9.03,1.24,0.7,13.88,8.2,0.52,0.37
FABIAN ZETTERLUND,,R,26.8,OTT,84,218.07,9.53,3.6,1.44,196.02,9.7,3.39,1.33,21.59,8.26,0.83,0.49,0.46,9.12,0.05,0.05
RYAN PULOCK,,D,31.7,NYI,74,218.05,8.39,4.24,1.47,191.44,8.64,3.45,1.39,10.45,8.87,0.6,0.49,16.16,6.08,0.59,0.37
NICK JENSEN,,D,35.7,OTT,71,217.87,9.11,3.87,1.43,197.65,9.3,3.69,1.43,3.25,10.36,0.34,0.34,16.96,7.2,0.73,0.44
JJ PETERKA,,L,24.4,UTA,77,217.17,9.31,3.95,1.39,185.19,9.45,3.35,1.31,31.75,8.5,0.92,0.48,0,0,0.11,0.11
IAN COLE,,D,37.3,UTA,82,216.82,7.82,3.13,1.25,193.08,8.13,2.95,1.13,0.3,6.73,0.04,0.03,23.43,5.96,0.72,0.7
DYLAN COZENS,,C,25.3,OTT,82,216.28,9.28,3.3,1.27,183.49,9.57,2.93,1.24,25.57,7.64,0.76,0.45,7.21,9.14,0.58,0.51
MATTHEW KNIES,,L,23.6,TOR,78,216.21,8.98,3.33,1.33,180.2,9.39,3.02,1.14,21.39,6.86,0.71,0.39,14.62,8.29,0.47,0.34
LEO CARLSSON,,C,21.4,ANA,76,215.96,10.5,3.51,1.42,179.72,10.67,3.28,1.33,30.41,9.73,1.04,0.59,5.83,9.59,0.72,0.49
PATRICK KANE,,R,37.5,DET,72,215.63,9.99,3.88,1.5,184.33,10.24,3.42,1.34,31.21,8.74,1.12,0.78,0.09,9.17,0.03,0.03
JACOB TROUBA,,D,32.3,ANA,77,215.47,8.18,3.73,1.56,192.53,8.39,3.31,1.56,1.54,9.48,0.22,0.2,21.39,6.64,0.67,0.47
CAM FOWLER,,D,34.5,STL,68,215.22,8.82,3.92,1.54,189.97,8.92,3.68,1.35,17.29,9.45,0.79,0.5,7.96,6.13,0.55,0.31
SEAN COUTURIER,,C,33.5,PHI,79,215.06,9.44,3.9,1.55,194.44,9.64,3.29,1.34,15.15,7.68,0.72,0.49,5.47,8.58,0.54,0.28
NEAL PIONK,,D,30.8,WPG,69,214.94,8.47,4.01,1.48,187.05,8.59,3.29,1.33,13.85,8.81,0.67,0.39,14.04,6.92,0.78,0.42
JEAN-GABRIEL PAGEAU,,C,33.6,NYI,79,214.78,9.6,3.55,1.29,177.1,9.82,3.13,1.25,18.12,8.69,0.73,0.38,19.56,8.66,0.64,0.44
TYSON FOERSTER,,L,24.4,PHI,81,214.25,9.41,3.63,1.34,182.5,9.66,3.35,1.28,21.84,8.35,0.67,0.49,9.9,7.9,0.62,0.36
RADKO GUDAS,,D,36.0,ANA,81,214.16,7.99,3.42,1.34,193,8.23,3.18,1.33,0.29,9.89,0.05,0.05,20.86,6.25,0.66,0.48
KEVIN BAHL,,D,25.9,CGY,73,214.11,8.23,3.52,1.34,193.6,8.47,3.28,1.28,1.16,9.03,0.18,0.18,19.34,6.37,0.7,0.4
WARREN FOEGELE,,L,30.2,OTT,82,213.31,9.65,3.26,1.24,186,9.81,3.08,1.24,8.59,8.32,0.52,0.33,18.73,8.86,0.71,0.52
JOHN TAVARES,,C,35.7,TOR,75,213.27,9.36,3.55,1.39,187.07,9.74,3.3,1.38,26.02,7.33,0.69,0.4,0.18,7.75,0.04,0.04
RYAN STROME,,C,32.9,CGY,82,212.95,9.34,3.39,1.31,185.65,9.65,2.98,1.25,25.64,7.61,0.91,0.57,1.65,8.76,0.34,0.2
MORGAN FROST,,C,27.1,CGY,81,212.48,9.99,3.61,1.39,181.42,10.18,3.25,1.23,30.6,8.94,1.17,0.53,0,0,0.14,0.14
LOGAN COOLEY,,C,22.1,UTA,75,212.41,9.51,3.7,1.43,176.29,9.81,3.16,1.29,23.87,8.18,0.88,0.59,12.25,8.5,0.63,0.5
FREDERICK GAUDREAU,,C,33.1,SEA,82,212.39,9.92,3.37,1.37,176.26,10.17,2.96,1.11,16.51,10.22,0.78,0.6,19.62,8,0.77,0.43
JURAJ SLAFKOVSKY,,R,22.2,MTL,79,212.32,9.3,3.56,1.31,181.29,9.67,3.35,1.31,30.9,7.56,0.92,0.57,0.14,8.71,0.03,0.03
BARRETT HAYTON,,C,26.0,UTA,82,212.29,9.65,3.31,1.25,181.42,10,2.82,1.08,20.67,7.63,0.75,0.48,10.2,8.85,0.54,0.37
FRANK VATRANO,,R,32.2,ANA,81,212.16,8.96,3.31,1.3,178.6,9.33,2.96,1.19,24.86,7.06,0.69,0.45,8.71,8.58,0.47,0.34
COLTON PARAYKO,,D,33.1,STL,64,211.72,8.36,4.14,1.68,191.86,8.54,3.86,1.5,4.86,8.83,0.52,0.36,15,6.46,0.59,0.47
ARTTURI LEHKONEN,,L,30.9,COL,69,211.64,9.03,3.83,1.55,184.73,9.39,3.49,1.29,18.17,6.8,0.64,0.44,8.74,8.06,0.54,0.38
SETH JONES,,D,31.7,FLA,63,211.04,8.16,4.25,1.65,169.68,8.27,3.64,1.41,22.73,8.63,1.01,0.74,18.63,6.82,0.75,0.35
DMITRY ORLOV,,D,34.9,S.J,76,210.84,8.32,3.43,1.35,192.29,8.48,3.22,1.34,0.36,8.96,0.07,0.07,18.19,6.96,0.84,0.48
COLE PERFETTI,,L,24.4,WPG,82,210.81,10.16,3.25,1.37,188.51,10.24,2.97,1.26,22.26,9.5,0.95,0.55,0.03,9.66,0.03,0.02
ALEXANDER WENNBERG,,C,31.7,S.J,77,210.7,8.71,3.37,1.35,172.11,9.16,2.96,1.24,24.99,6.97,0.88,0.53,13.6,7.44,0.67,0.37
CHRIS TANEV,,D,36.5,TOR,75,210.66,8.53,3.59,1.38,189.15,8.77,3.35,1.28,0.53,10.64,0.08,0.07,20.98,6.81,0.72,0.42
JAMIE OLEKSIAK,,D,33.5,SEA,82,210.43,8.2,3.57,1.29,187.83,8.55,3.18,1.29,0.85,9.51,0.19,0.19,21.75,6.02,0.79,0.48
BRETT PESCE,,D,31.6,N.J,72,210.4,8.22,3.45,1.34,190.98,8.38,3.29,1.34,1.57,8.05,0.25,0.25,17.85,6.88,0.78,0.45
BRIAN DUMOULIN,,D,34.7,L.A,80,210.35,8.07,3.62,1.3,190.38,8.24,3.02,1.07,0.43,11.08,0.05,0.05,19.54,6.73,0.6,0.42
EVGENI MALKIN,,R,39.8,PIT,68,209.77,10.41,3.92,1.44,183.99,10.63,3.36,1.31,25.71,9.07,0.89,0.43,0.07,9.71,0.03,0.03
ANDERS LEE,,L,35.9,NYI,82,209.15,8.97,3.09,1.25,183.75,9.2,2.79,1.12,25.33,7.56,0.86,0.48,0,0,0.04,0.04
BRENDEN DILLON,,D,35.6,N.J,82,209.09,8.24,3.6,1.54,183.69,8.47,3.33,1.54,1.05,8.76,0.21,0.21,24.35,6.82,0.84,0.41
TYLER MYERS,,D,36.3,DAL,71,209,8.49,3.64,1.36,184.19,8.65,3.36,1.28,6.52,9.5,0.58,0.38,18.29,6.97,0.68,0.36
FILIP HRONEK,,D,28.6,VAN,61,208.54,8.58,4.24,1.6,176.15,8.75,3.93,1.52,16.36,9.02,0.94,0.55,16.04,6.82,0.6,0.45
MARCO KASPER,,C,22.2,DET,77,208.17,10.5,3.58,1.43,186.89,10.58,3.39,1.33,14.63,10.18,0.91,0.52,6.65,9.11,0.48,0.28
ALEX KILLORN,,L,36.7,ANA,82,208.1,8.81,3.35,1.22,167.85,9.19,2.76,1.14,18.88,6.96,0.74,0.45,21.37,8.12,0.69,0.43
WILL BORGEN,,D,29.5,NYR,84,207.85,8.69,3.2,1.26,193.82,8.81,3.19,1.13,1.22,10.28,0.15,0.15,12.81,7.17,0.59,0.35
REILLY SMITH,,L,35.2,VGK,79,207.78,10.22,3.25,1.32,174.37,10.32,2.81,1.29,11.95,9.79,0.43,0.33,21.46,9.71,1.29,0.51
GUSTAV NYQUIST,,L,36.8,WPG,79,207.78,9.36,3.44,1.41,174.68,9.53,3.03,1.41,18.29,8.53,0.88,0.58,14.81,8.59,0.55,0.39
RYAN DONATO,,L,30.2,CHI,80,207.72,9.55,3.73,1.51,188.77,9.83,3.68,1.51,18.52,7.45,0.67,0.56,0.43,7.67,0.12,0.12
BRANDON CARLO,,D,29.5,TOR,83,206.99,7.92,3.05,1.27,183.16,8.14,2.89,1.22,0.46,8.12,0.11,0.11,23.37,6.54,0.74,0.42
PAVEL DOROFEYEV,,R,25.6,VGK,82,206.7,9.15,3.08,1.22,183.5,9.35,2.92,1.22,23.09,7.81,1.04,0.65,0.11,7.99,0.05,0.05
MORGAN GEEKIE,,R,27.9,BOS,77,206.07,9.49,3.49,1.3,185.92,9.6,3.34,1.3,19.81,8.54,0.73,0.56,0.35,11.19,0.07,0.07
JALEN CHATFIELD,,D,30.1,CAR,79,205.2,8.26,3.04,1.23,187.7,8.37,2.91,1.2,0.34,8.42,0.05,0.05,17.16,7.21,0.53,0.35
YEGOR SHARANGOVICH,,L,28.0,CGY,73,204.97,10.11,3.71,1.32,171.31,10.21,3.08,1.27,26.14,9.99,0.98,0.69,7.52,8.62,0.55,0.28
ALEX LAFERRIERE,,R,24.6,L.A,77,204.89,9.66,3.62,1.46,186.16,9.82,3.32,1.41,17.67,8.17,0.83,0.5,1.07,10.71,0.32,0.19
BRAD MARCHAND,,R,38.1,FLA,71,204.64,9.44,3.8,1.41,161.9,9.88,3.68,1.41,28.27,7.57,0.9,0.55,14.47,9.25,0.58,0.47
JAKE WALMAN,,D,30.3,EDM,65,204.27,8.28,3.84,1.47,162.97,8.48,3.5,1.35,22.9,8.62,0.84,0.62,18.4,6.61,0.7,0.45
OWEN TIPPETT,,L,27.3,PHI,77,203.97,9.94,4.02,1.36,180.94,10.06,3.61,1.25,22.38,9.09,1.14,0.62,0.65,9.65,0.23,0.23
CHRISTIAN DVORAK,,C,30.3,PHI,82,203.9,9.79,3.14,1.25,177.5,10.31,2.92,1.21,4.38,8.12,0.53,0.38,22.02,7.15,0.62,0.37
MARTIN FEHERVARY,,D,26.7,WSH,81,203.84,7.95,3.58,1.28,178.83,8.31,3.44,1.28,0.6,10.93,0.13,0.13,24.41,5.96,0.76,0.46
RIDLY GREIG,,L,23.8,OTT,78,203.69,9.17,3.38,1.26,166.71,9.5,3.28,1.18,18.97,8,0.7,0.4,18.01,7.87,0.92,0.52
SEAN WALKER,,D,31.6,CAR,82,203.2,8.83,3.63,1.48,187.94,8.92,3.49,1.48,6.99,8.73,0.44,0.34,8.26,7.32,0.65,0.44
JAKE EVANS,,C,30.0,MTL,82,203.19,9.56,3.04,1.2,170.91,9.86,2.79,1.14,0.52,10.33,0.17,0.17,31.76,8.19,0.86,0.53
SIMON HOLMSTROM,,R,25.0,NYI,75,202.73,9.62,3.44,1.24,167.77,9.85,2.75,1.13,20.69,8.95,1.62,0.79,14.27,8.22,0.61,0.39
MATTIAS EKHOLM,,D,36.0,EDM,65,202.31,8.41,4.28,1.62,177.66,8.57,3.95,1.62,8.59,8.1,0.52,0.44,16.05,7.09,0.98,0.53
JAMIE DRYSDALE,,D,24.2,PHI,70,202.18,8.7,4.02,1.72,177.57,8.63,3.81,1.5,23.68,9.35,1.12,0.59,0.93,7.74,0.22,0.22
EVAN RODRIGUES,,C,32.9,FLA,82,201.3,9.68,3.47,1.32,181.54,9.66,3.44,1.28,19.36,9.82,0.77,0.57,0.41,9.48,0.16,0.16
NICK PAUL,,R,31.2,T.B,76,201.08,9.65,3.45,1.32,183.41,9.84,3.22,1.27,10.74,7.55,0.6,0.43,6.92,9.01,0.46,0.28
NIC DOWD,,C,36.0,VGK,82,200.71,9.68,3.14,1.29,170.8,9.94,3.11,1.29,0.48,9.2,0.11,0.06,29.43,8.39,0.92,0.54
DANTE FABBRO,,D,28.0,CBJ,68,200.66,8.47,3.71,1.65,187.78,8.61,3.63,1.65,0.81,8.8,0.33,0.33,12.07,6.82,0.52,0.36
MATS ZUCCARELLO,,R,38.8,MIN,69,200.33,8.86,3.59,1.45,173.51,9.25,3.48,1.34,26.68,6.98,0.94,0.7,0.14,9.11,0.09,0.09
SHANE PINTO,,C,25.6,OTT,70,200.3,9.78,3.55,1.46,168.46,9.99,3.08,1.3,11.21,8.61,0.64,0.46,20.64,8.88,0.85,0.69
BRADEN SCHNEIDER,,D,24.7,NYR,80,200.11,8.4,3.23,1.4,182.71,8.53,3.1,1.26,0.98,11.86,0.27,0.15,16.41,7.09,0.62,0.38
J.T. COMPHER,,C,31.2,DET,76,199.74,9.45,3.16,1.22,167.62,9.68,2.85,1.1,17.11,9.38,0.8,0.45,15.01,7.58,0.55,0.33
J.T. MILLER,,C,33.2,NYR,72,199.7,9.14,3.31,1.38,162.02,9.53,2.84,1.17,26.87,7.49,0.91,0.64,10.81,8.61,0.55,0.31
NOAH CATES,,C,27.3,PHI,78,199.36,9.66,3.45,1.4,169.28,9.77,3.04,1.16,11.58,8.95,0.93,0.65,18.5,9.17,0.85,0.5
BROCK BOESER,,R,29.3,VAN,75,198.94,8.76,3.29,1.4,168.33,9.04,3,1.24,30.53,7.51,0.88,0.61,0.09,8.56,0.06,0.04
CAM YORK,,D,25.4,PHI,67,198.87,8.7,3.76,1.48,182.32,8.86,3.49,1.4,1.45,9.03,0.17,0.14,15.11,7.08,0.69,0.43
ALEXANDER ROMANOV,,D,26.4,NYI,64,198.82,8.36,4.06,1.52,185.16,8.56,3.69,1.47,1.04,8.95,0.33,0.22,12.62,6.18,0.45,0.42
TAYLOR HALL,,L,34.6,CAR,77,198.78,10.21,3.26,1.29,177.83,10.3,2.96,1.19,20.75,9.5,0.92,0.51,0.2,9.56,0.03,0.03
CONNOR BROWN,,R,32.4,N.J,82,198.77,10.38,3.39,1.33,173.57,10.37,3.22,1.2,2.6,10.05,0.66,0.53,22.6,10.5,0.78,0.59
ALEX NEWHOOK,,L,25.3,MTL,82,198.4,9.59,3.07,1.23,178.2,9.66,2.86,1.15,19.82,9.05,0.77,0.53,0.38,8.82,0.06,0.06
ALEXANDER KERFOOT,,L,31.8,UTA,81,198.31,9.63,3.23,1.18,165.61,9.89,2.84,1.13,3.31,7.44,0.82,0.37,29.39,8.63,0.89,0.57
JAKE MCCABE,,D,32.6,TOR,66,198.15,8.37,3.77,1.43,177.41,8.56,3.52,1.43,1.76,9.39,0.29,0.12,18.98,6.88,0.68,0.44
RYAN LINDGREN,,D,28.3,SEA,72,198.06,8.38,3.29,1.31,177.25,8.59,3.29,1.31,0,0,0.16,0.14,20.49,6.84,0.67,0.4
JAKE NEIGHBOURS,,L,24.2,STL,82,197.95,9.11,3.12,1.27,177.59,9.45,3.1,1.27,18.25,6.83,0.57,0.36,2.11,8.32,0.22,0.2
NINO NIEDERREITER,,L,33.7,WPG,82,197.61,9.74,3.38,1.2,181.88,9.85,3.14,1.16,15.71,8.59,0.58,0.38,0.02,8.43,0.02,0.02
DMITRY KULIKOV,,D,35.6,FLA,70,197.46,8.78,3.38,1.37,178.65,8.93,3.2,1.36,1.12,10.53,0.19,0.19,17.69,7.45,0.65,0.49
ILYA MIKHEYEV,,L,31.6,CHI,80,197.41,9.44,3.05,1.21,171.77,9.53,2.71,1.13,2,8.39,0.28,0.25,23.65,8.96,0.94,0.5
ANDREW PEEKE,,D,28.2,BOS,76,197.29,8.37,3.15,1.31,181.07,8.54,2.95,1.3,0.98,8.54,0.2,0.2,15.24,6.79,0.54,0.39
JAKE MIDDLETON,,D,30.4,MIN,67,197.26,8.08,3.66,1.41,182.24,8.26,3.59,1.29,0.69,8.12,0.14,0.14,14.33,6.31,0.67,0.45
DREW O'CONNOR,,L,28.0,VAN,84,197.22,9.74,3.08,1.3,175.71,9.82,2.66,1.16,2.86,9.68,0.66,0.34,18.66,9.03,0.58,0.42
BOBBY BRINK,,R,24.9,MIN,79,197.1,10.09,3.76,1.37,172.84,10.23,2.98,1.14,23.75,9.14,0.83,0.56,0,0,0.19,0.18
EETU LUOSTARINEN,,C,27.8,FLA,80,197.08,9.67,3.74,1.37,167.53,9.85,3.58,1.27,5.71,8.82,0.47,0.28,23.84,8.74,0.9,0.39
JAMIE BENN,,R,36.9,DAL,80,197.04,9.66,3.15,1.27,163.92,9.93,3.04,1.09,25.18,8.2,1.32,0.56,7.94,9.58,0.42,0.24
ILYA LYUBUSHKIN,,D,32.2,DAL,80,196.88,8.49,3.17,1.56,175.4,8.78,3.06,1.24,0.26,8.09,0.04,0.04,21.23,6.69,0.73,0.35
ERIK CERNAK,,D,29.0,T.B,76,196.58,8.5,3.22,1.27,175.9,8.74,3.11,1.13,0.36,9.45,0.04,0.04,20.31,6.83,0.73,0.4
JOEL EDMUNDSON,,D,32.9,L.A,73,196.36,7.84,3.36,1.36,178.37,7.97,3.09,1.36,1,7.44,0.15,0.15,16.99,6.7,0.73,0.41
STEFAN NOESEN,,L,33.3,N.J,78,196.27,9.48,3.09,1.43,167.54,9.78,2.98,1.22,22.65,7.69,0.85,0.45,6.08,9.44,0.41,0.41
MASON MCTAVISH,,L,23.3,ANA,76,196.13,9.18,3.45,1.27,174.61,9.62,3.31,1.26,21.33,6.63,0.9,0.44,0,0,0.06,0.06
WILL CUYLLE,,L,24.3,NYR,82,196.01,9.51,2.91,1.34,173.76,9.6,2.79,1.07,8.55,8.3,0.78,0.62,13.7,9.3,0.62,0.28
JOSH ANDERSON,,R,32.1,MTL,81,196.01,10.14,2.99,1.17,173.38,10.27,2.69,1.17,0,0,0.19,0.19,21.49,9.13,0.66,0.38
JARED SPURGEON,,D,36.5,MIN,66,195.75,8.7,3.64,1.46,172.3,8.75,3.32,1.4,16.72,9.03,0.89,0.49,6.74,7.08,0.41,0.33
PHILIP BROBERG,,D,24.9,STL,68,195.61,8.42,3.89,1.52,180.34,8.53,3.48,1.36,4.93,9.29,0.57,0.3,10.34,6.66,0.48,0.31
GABRIEL VILARDI,,R,26.8,WPG,71,195.44,9.11,3.47,1.29,170.31,9.42,3,1.25,25.05,7.44,0.85,0.6,0.07,7.63,0.03,0.03
ROMAN JOSI,,D,36.0,NSH,53,195.19,8.83,4.79,1.72,160.33,8.93,4.16,1.67,25.55,8.73,1.28,0.69,9.3,7.57,0.58,0.47
LOGAN STANKOVEN,,C,23.3,CAR,78,195.03,9.94,3.29,1.35,172.5,9.99,3.09,1.35,22.46,9.56,1.03,0.47,0.07,8.2,0.02,0.02
ADAM HENRIQUE,,C,36.3,EDM,81,195.01,9.86,3.06,1.26,164.88,10.04,2.72,1.22,11.02,9.29,0.72,0.51,19.11,8.86,0.77,0.45
MARCUS JOHANSSON,,L,35.7,MIN,72,194.74,9.91,3.76,1.33,177.7,9.89,3.6,1.28,15.9,10.31,0.95,0.62,1.13,7.86,0.26,0.17
SCOTT LAUGHTON,,C,32.0,L.A,80,194.74,10,3.42,1.3,171.25,10.2,3.1,1.23,5.52,8.2,0.53,0.28,17.97,8.94,0.66,0.34
ANDRE BURAKOVSKY,,R,31.3,CHI,79,194.59,10.25,3.17,1.27,173.74,10.3,2.84,1.16,20.84,9.84,0.77,0.43,0.01,7.79,0.01,0.01
TOMAS HERTL,,C,32.6,VGK,73,194.35,9.33,3.61,1.36,170.37,9.8,3.46,1.36,22.67,6.9,0.79,0.52,1.3,8.04,0.24,0.17
CUTTER GAUTHIER,,R,22.4,ANA,82,194.2,10.04,3.23,1.2,173.3,10.14,2.88,1.15,19.59,9.3,0.74,0.55,1.31,8.99,0.36,0.26
BRETT HOWDEN,,L,28.2,VGK,80,194.2,9.8,3.08,1.14,180.21,9.87,3,1.14,1.17,7.86,0.62,0.23,12.81,9.07,0.52,0.43
ZACH HYMAN,,R,34.0,EDM,73,194.03,8.45,3.17,1.28,172.47,9.01,3.04,1.17,21.42,5.6,0.6,0.43,0,0,0.13,0.13
JOEL FARABEE,,R,26.3,CGY,81,193.98,9.63,3.29,1.23,172.95,9.82,3.04,1.22,15.45,8.1,0.62,0.39,5.58,9.13,0.49,0.29
ALIAKSEI PROTAS,,L,25.4,WSH,76,193.76,9.3,3.37,1.34,175.35,9.39,3.31,1.34,1.42,8.82,0.35,0.2,16.99,8.48,0.58,0.41
VLADISLAV NAMESTNIKOV,,C,33.5,WPG,78,193.36,9.86,3,1.23,169.22,9.94,2.83,1.16,16.58,10,0.73,0.42,7.55,8.06,0.37,0.25
TYLER BERTUZZI,,R,31.3,CHI,82,193.24,8.84,3.21,1.25,169.8,9.19,3.21,1.25,23.43,6.89,0.8,0.48,0,3.32,0,0
VINCE DUNN,,D,29.6,SEA,62,193.2,8.47,4.24,1.6,170.19,8.47,4.09,1.6,21.8,8.48,0.88,0.48,1.2,7.46,0.12,0.12
CARSON SOUCY,,D,31.9,NYI,75,193.13,8.62,3.33,1.27,175.67,8.82,3.08,1.27,2.29,9.54,0.29,0.29,15.18,6.77,0.74,0.31
NATE SCHMIDT,,D,34.9,UTA,80,192.73,8.75,3.61,1.37,170.7,8.79,2.99,1.32,14.62,8.91,0.6,0.45,7.42,7.6,0.37,0.37
TYLER TOFFOLI,,R,34.1,S.J,78,192.13,8.73,3.26,1.29,165.82,9.24,3.02,1.12,25.85,6.42,0.91,0.5,0.46,11.75,0.15,0.15
CONNOR MURPHY,,D,33.2,EDM,68,192.1,8.22,3.39,1.35,173.25,8.37,3.22,1.28,0.69,9.58,0.1,0.1,18.16,6.99,0.64,0.41
TREVOR VAN RIEMSDYK,,D,34.9,WSH,82,191.99,7.96,3.37,1.15,176.88,8.06,3.21,1.13,0.45,8.35,0.1,0.1,14.67,6.86,0.47,0.35
BRANDT CLARKE,,D,23.3,L.A,78,191.32,9.04,3.65,1.52,170.11,9.06,3.36,1.41,20.65,8.95,0.78,0.51,0.55,7.69,0.13,0.12
RYKER EVANS,,D,24.5,SEA,73,191.19,8.07,3.47,1.26,176.65,8.14,3.16,1.2,8.05,9.08,0.62,0.48,6.49,5.83,0.28,0.27
JORDAN STAAL,,C,37.7,CAR,75,191.03,9.9,3.66,1.68,164.25,10.04,2.79,1.38,1.23,11,0.29,0.27,25.55,9.04,0.85,0.43
SHANE WRIGHT,,C,22.4,SEA,79,190.09,10.26,3.45,1.29,167.73,10.51,3.21,1.29,22.01,8.68,0.67,0.37,0,0,0.14,0.14
IVAN BARBASHEV,,L,30.5,VGK,70,189.95,9.69,3.43,1.36,179.86,9.71,3.43,1.33,10.02,9.3,0.56,0.36,0.07,11.7,0.04,0.04
KAAPO KAKKO,,R,25.3,SEA,79,189.89,9.24,3.28,1.29,172.06,9.3,3.17,1.16,17.71,8.65,0.81,0.36,0,0,0.09,0.09
OLIVER BJORKSTRAND,,R,31.2,T.B,79,189.79,9.52,3.23,1.27,164.94,9.74,3.04,1.12,24.83,8.25,0.81,0.62,0.02,7.48,0.02,0.02
ANDREI SVECHNIKOV,,L,26.2,CAR,72,189.74,9.24,3.37,1.34,160.93,9.67,3.03,1.26,28.44,7.37,1.02,0.74,0.37,8.9,0.13,0.13
DOUGIE HAMILTON,,D,33.0,N.J,64,189.12,8.93,3.71,1.67,159.54,8.99,3.22,1.5,26.89,8.67,1.21,0.61,2.69,8.15,0.26,0.19
ADAM LOWRY,,C,33.2,WPG,73,188.99,10.07,3.11,1.27,168.49,10.33,2.95,1.27,0.61,8.29,0.25,0.14,19.89,8.34,0.89,0.46
JORDAN MARTINOOK,,R,33.9,CAR,79,188.81,9.37,2.95,1.28,163.77,9.52,2.64,1,0.69,10.28,0.09,0.09,24.34,8.49,0.75,0.37
ELIAS PETTERSSON,,C,27.6,VAN,64,188.61,9.48,3.61,1.62,154.64,9.73,3.42,1.29,28.39,8.47,1.1,0.69,5.58,8.43,0.38,0.27
KEVIN STENLUND,,C,29.7,UTA,82,188.55,9.61,2.84,1.08,158.62,9.93,2.62,1.06,0.52,8.52,0.1,0.1,29.41,8.21,0.79,0.6
DYLAN GUENTHER,,R,23.2,UTA,70,188.4,9.5,3.58,1.4,158.4,10.12,3.35,1.21,27.73,7.04,0.92,0.59,2.27,9.44,0.46,0.35
VLADIMIR TARASENKO,,R,34.5,MIN,80,188.1,9.54,3.25,1.14,172.2,9.76,2.98,1.14,15.44,7.69,0.63,0.39,0.46,8.45,0.12,0.12
EVGENII DADONOV,,L,37.2,N.J,80,187.9,10.41,3.11,1.33,175.49,10.5,2.89,1.12,12.34,9.34,0.82,0.39,0.08,9.4,0.05,0.05
EELI TOLVANEN,,L,27.1,SEA,81,187.83,9.72,3.36,1.27,172.53,9.83,3.07,1.27,9.17,8.57,0.53,0.39,6.12,8.6,0.58,0.49
TREVOR MOORE,,L,31.2,L.A,71,187.35,9.38,3.17,1.2,157.89,9.66,2.95,1.2,11.75,7.91,0.54,0.43,17.71,8.28,0.7,0.42
KENT JOHNSON,,R,23.6,CBJ,68,186.64,9.52,3.55,1.41,156.22,9.68,3.3,1.21,25.16,8.72,1,0.65,5.27,9.04,0.57,0.43
MATT ROY,,D,31.3,WSH,69,186.54,8.16,3.42,1.21,171.69,8.3,2.94,1.18,1.3,8.6,0.18,0.12,13.55,6.73,0.5,0.35
TIMOTHY LILJEGREN,,D,27.1,WSH,68,186.46,8.57,3.88,1.39,167.63,8.62,3.4,1.36,15.33,8.8,0.76,0.43,3.51,6.25,0.51,0.29
SHAYNE GOSTISBEHERE,,D,33.1,CAR,70,186.34,8.62,3.53,1.39,151.57,8.7,2.97,1.38,33.17,8.34,1.39,1.03,1.59,7.71,0.39,0.2
